符号,中文名(拼音),原子序数,原子量,化学价,类型,族,周期,电子排布,发现年份,发现者,特性
Kr,氪(kè),36,83.798,0、+2,惰性气体,18,4,[Ar]3d¹⁰4s²4p⁶,1898,拉姆塞和特拉弗斯,无色无味气体，用于荧光灯和激光
Rb,铷(rú),37,85.468,+1,碱金属,1,5,[Kr]5s¹,1861,本生和基尔霍夫,非常活泼的软金属，用于原子钟
Sr,锶(sī),38,87.62,+2,碱土金属,2,5,[Kr]5s²,1790,克劳福德,软质银白色金属，燃烧发红光，用于烟花和信号弹
Y,钇(yǐ),39,88.906,+3,过渡金属,3,5,[Kr]4d¹5s²,1794,加多林,银白色金属，用于激光材料和超导材料
Zr,锆(gào),40,91.224,+4,过渡金属,4,5,[Kr]4d²5s²,1789,克拉普罗特,耐腐蚀，用于核反应堆包壳和珠宝
Nb,铌(ní),41,92.906,+3、+5,过渡金属,5,5,[Kr]4d⁴5s¹,1801,哈契特,超导金属，用于合金和粒子加速器
Mo,钼(mù),42,95.95,+2、+3、+4、+5、+6,过渡金属,6,5,[Kr]4d⁵5s¹,1778,舍勒,高强度、高熔点，用于合金钢和催化剂
Tc,锝(dé),43,98,+4、+6、+7,过渡金属,7,5,[Kr]4d⁵5s²,1937,佩里埃和塞格雷,第一个人造元素，放射性，用于医疗诊断
Ru,钌(liǎo),44,101.07,+2、+3、+4、+6、+8,过渡金属,8,5,[Kr]4d⁷5s¹,1844,克劳斯,硬质脆性金属，用于耐磨电接触材料和催化剂
Rh,铑(lǎo),45,102.906,+2、+3、+4,过渡金属,9,5,[Kr]4d⁸5s¹,1803,武拉斯顿,高度反射性，耐腐蚀，用于汽车催化剂和珠宝
Pd,钯(bǎ),46,106.42,+2、+4,过渡金属,10,5,[Kr]4d¹⁰,1803,武拉斯顿,吸附氢气能力强，用于催化剂和氢气纯化
Ag,银(yín),47,107.87,+1、+2、+3,过渡金属,11,5,[Kr]4d¹⁰5s¹,古代,古人,导电性最好的金属，用于首饰和电子元件
Cd,镉(gé),48,112.411,+2,过渡金属,12,5,[Kr]4d¹⁰5s²,1817,施特罗迈尔,有毒金属，用于电池和颜料
In,铟(yīn),49,114.818,+1、+3,贫金属,13,5,[Kr]4d¹⁰5s²5p¹,1863,赖希和里希特,软质银白色金属，用于液晶显示器和焊料
Sn,锡(xī),50,118.710,+2、+4、-4,贫金属,14,5,[Kr]4d¹⁰5s²5p²,古代,古人,有白锡和灰锡两种同素异形体，用于焊料和马口铁
Sb,锑(tī),51,121.760,-3、+3、+5,类金属,15,5,[Kr]4d¹⁰5s²5p³,古代,古人,脆性金属，用于阻燃剂和铅酸电池
Te,碲(dì),52,127.60,-2、+4、+6,类金属,16,5,[Kr]4d¹⁰5s²5p⁴,1782,赖兴施泰因,银白色脆性金属，用于半导体和合金
I,碘(diǎn),53,126.904,-1、+1、+3、+5、+7,卤素,17,5,[Kr]4d¹⁰5s²5p⁵,1811,库特瓦,紫黑色固体，易升华，用于消毒和甲状腺激素合成
Xe,氙(xiān),54,131.293,0、+2、+4、+6、+8,惰性气体,18,5,[Kr]4d¹⁰5s²5p⁶,1898,拉姆塞和特拉弗斯,最重的稳定惰性气体，用于闪光灯和麻醉剂
Cs,铯(sè),55,132.905,+1,碱金属,1,6,[Xe]6s¹,1860,本生和基尔霍夫,最活泼的金属，用于原子钟和光电管
Ba,钡(bèi),56,137.327,+2,碱土金属,2,6,[Xe]6s²,1808,戴维,软质银白色金属，燃烧发绿光，用于焰火和X射线造影剂
La,镧(lán),57,138.905,+3,镧系元素,3,6,[Xe]5d¹6s²,1839,莫桑德尔,柔软有延展性，用于光学玻璃和打火石
Ce,铈(shì),58,140.116,+3、+4,镧系元素,3,6,[Xe]4f¹5d¹6s²,1803,贝采里乌斯和希辛格,最常见的稀土元素，用于玻璃抛光和自洁烤箱
Pr,镨(pǔ),59,140.908,+3、+4,镧系元素,3,6,[Xe]4f³6s²,1885,韦尔斯巴赫,用于制造高强度永磁体和有色玻璃
Nd,钕(nǚ),60,144.242,+3,镧系元素,3,6,[Xe]4f⁴6s²,1885,韦尔斯巴赫,用于最强的永磁体和激光材料
Pm,钷(pǒ),61,145,+3,镧系元素,3,6,[Xe]4f⁵6s²,1945,马林斯基和格伦丁宁,放射性稀土元素，用于核电池和厚度测量仪
Sm,钐(shān),62,150.36,+2、+3,镧系元素,3,6,[Xe]4f⁶6s²,1879,布瓦博德朗,用于永磁体和核反应控制棒
Eu,铕(yǒu),63,151.964,+2、+3,镧系元素,3,6,[Xe]4f⁷6s²,1901,德马尔赛,用于彩色电视荧光粉和防伪标记
Gd,钆(gá),64,157.25,+3,镧系元素,3,6,[Xe]4f⁷5d¹6s²,1880,马利纳克,用于核磁共振成像和计算机存储
Tb,铽(tè),65,158.925,+3、+4,镧系元素,3,6,[Xe]4f⁹6s²,1843,莫桑德尔,用于荧光材料和固态器件
Dy,镝(dī),66,162.500,+3,镧系元素,3,6,[Xe]4f¹⁰6s²,1886,布瓦博德朗,用于永磁体和核反应控制棒
Ho,钬(huǒ),67,164.930,+3,镧系元素,3,6,[Xe]4f¹¹6s²,1878,克利夫,用于激光和磁体
Er,铒(ěr),68,167.259,+3,镧系元素,3,6,[Xe]4f¹²6s²,1843,莫桑德尔,用于光纤放大器和红外激光
Tm,铥(diū),69,168.934,+2、+3,镧系元素,3,6,[Xe]4f¹³6s²,1879,克利夫,用于便携式X射线机和激光
Yb,镱(yì),70,173.054,+2、+3,镧系元素,3,6,[Xe]4f¹⁴6s²,1878,马里纳克,用于不锈钢和激光材料
Lu,镥(lǔ),71,174.967,+3,镧系元素,3,6,[Xe]4f¹⁴5d¹6s²,1907,乌尔班,最硬的稀土元素，用于石油裂解催化剂
Hf,铪(hā),72,178.49,+4,过渡金属,4,6,[Xe]4f¹⁴5d²6s²,1923,科斯特和赫维西,高熔点、耐腐蚀，用于核反应堆控制棒
Ta,钽(tǎn),73,180.948,+5,过渡金属,5,6,[Xe]4f¹⁴5d³6s²,1802,埃克伯格,耐腐蚀性极强，用于电容器和手术器械
W,钨(wū),74,183.84,+2、+3、+4、+5、+6,过渡金属,6,6,[Xe]4f¹⁴5d⁴6s²,1783,埃尔乌亚尔兄弟,熔点最高的金属，用于灯丝和硬质合金
Re,铼(lái),75,186.207,+2、+3、+4、+5、+6、+7,过渡金属,7,6,[Xe]4f¹⁴5d⁵6s²,1925,诺达克和塔克,高熔点、高密度，用于高温热电偶和喷气发动机
Os,锇(é),76,190.23,+2、+3、+4、+6、+8,过渡金属,8,6,[Xe]4f¹⁴5d⁶6s²,1803,坦南特和武拉斯顿,密度最大的元素，用于硬质合金和留声机唱针
Ir,铱(yī),77,192.217,+2、+3、+4、+6,过渡金属,9,6,[Xe]4f¹⁴5d⁷6s²,1803,坦南特和武拉斯顿,最耐腐蚀的金属，用于火花塞和标准米尺
Pt,铂(bó),78,195.084,+2、+4、+5、+6,过渡金属,10,6,[Xe]4f¹⁴5d⁹6s¹,1735,乌罗阿,贵金属，耐腐蚀，用于催化剂和珠宝
Au,金(jīn),79,196.967,+1、+3,过渡金属,11,6,[Xe]4f¹⁴5d¹⁰6s¹,古代,古人,延展性最好的金属，用于货币、珠宝和电子
Hg,汞(gǒng),80,200.592,+1、+2,过渡金属,12,6,[Xe]4f¹⁴5d¹⁰6s²,古代,古人,唯一的液态金属，有毒，用于温度计和气压计
Tl,铊(tā),81,204.38,+1、+3,贫金属,13,6,[Xe]4f¹⁴5d¹⁰6s²6p¹,1861,克鲁克斯,剧毒，用于红外探测器和杀鼠剂
Pb,铅(qiān),82,207.2,+2、+4,贫金属,14,6,[Xe]4f¹⁴5d¹⁰6s²6p²,古代,古人,重金属，有毒，用于电池和辐射防护
Bi,铋(bì),83,208.980,+3、+5,贫金属,15,6,[Xe]4f¹⁴5d¹⁰6s²6p³,1753,若弗鲁瓦,低熔点金属，用于药品和化妆品
Po,钋(pō),84,209,+2、+4、+6,贫金属,16,6,[Xe]4f¹⁴5d¹⁰6s²6p⁴,1898,居里夫妇,强放射性元素，用于静电消除器和中子源
At,砹(ài),85,210,-1、+1、+3、+5、+7,卤素,17,6,[Xe]4f¹⁴5d¹⁰6s²6p⁵,1940,科森和麦肯齐,最稀有的天然元素，强放射性
Rn,氡(dōng),86,222,0、+2、+4、+6,惰性气体,18,6,[Xe]4f¹⁴5d¹⁰6s²6p⁶,1900,多恩,放射性气体，是室内空气污染源之一
Fr,钫(fāng),87,223,+1,碱金属,1,7,[Rn]7s¹,1939,佩里,放射性极强，半衰期短，化学性质类似铯
Ra,镭(léi),88,226,+2,碱土金属,2,7,[Rn]7s²,1898,居里夫妇,放射性元素，曾用于夜光涂料和癌症治疗
Ac,锕(ā),89,227,+3,锕系元素,3,7,[Rn]6d¹7s²,1899,德比尔纳,放射性元素，用于中子源
Th,钍(tǔ),90,232.038,+4,锕系元素,3,7,[Rn]6d²7s²,1828,贝采里乌斯,弱放射性，用于合金和核燃料
Pa,镤(pú),91,231.036,+4、+5,锕系元素,3,7,[Rn]5f²6d¹7s²,1913,法詹斯和戈林,强放射性，半衰期长
U,铀(yóu),92,238.029,+3、+4、+5、+6,锕系元素,3,7,[Rn]5f³6d¹7s²,1789,克拉普罗特,最重要的核燃料，放射性
Np,镎(ná),93,237,+3、+4、+5、+6、+7,锕系元素,3,7,[Rn]5f⁴6d¹7s²,1940,麦克米伦和艾贝尔森,第一个人工合成的超铀元素，放射性
Pu,钚(bù),94,244,+3、+4、+5、+6,锕系元素,3,7,[Rn]5f⁶7s²,1940,西博格和麦克米伦,重要的核燃料，用于核武器和核电池
Am,镅(méi),95,243,+3、+4、+5、+6,锕系元素,3,7,[Rn]5f⁷7s²,1944,西博格和詹姆斯,人工合成元素，用于烟雾探测器
Cm,锔(jú),96,247,+3、+4,锕系元素,3,7,[Rn]5f⁷6d¹7s²,1944,西博格和詹姆斯,人工合成元素，高放射性
Bk,锫(péi),97,247,+3、+4,锕系元素,3,7,[Rn]5f⁹7s²,1949,西博格和汤普森,人工合成元素，纪念伯克利
Cf,锎(kāi),98,251,+3、+4,锕系元素,3,7,[Rn]5f¹⁰7s²,1950,西博格和吉奥索,人工合成元素，用于中子源
Es,锿(āi),99,252,+2、+3,锕系元素,3,7,[Rn]5f¹¹7s²,1952,吉奥索,人工合成元素，纪念爱因斯坦
Fm,镄(fèi),100,257,+2、+3,锕系元素,3,7,[Rn]5f¹²7s²,1952,吉奥索,人工合成元素，纪念费米
Md,钔(mén),101,258,+2、+3,锕系元素,3,7,[Rn]5f¹³7s²,1955,吉奥索,人工合成元素，纪念门捷列夫
No,锘(nuò),102,259,+2、+3,锕系元素,3,7,[Rn]5f¹⁴7s²,1958,吉奥索,人工合成元素，纪念诺贝尔
Lr,铹(láo),103,262,+3,锕系元素,3,7,[Rn]5f¹⁴7s²7p¹,1961,吉奥索,人工合成元素，纪念劳伦斯
Rf,鑪(lú),104,267,+4,过渡金属,4,7,[Rn]5f¹⁴6d²7s²,1964,弗廖洛夫,人工合成元素，纪念卢瑟福
Db,钅杜(dù),105,268,+5,过渡金属,5,7,[Rn]5f¹⁴6d³7s²,1967,弗廖洛夫,人工合成元素，纪念杜布纳
Sg,钅喜(xǐ),106,269,+6,过渡金属,6,7,[Rn]5f¹⁴6d⁴7s²,1974,弗廖洛夫和吉奥索,人工合成元素，纪念西博格
Bh,钅波(bō),107,270,+7,过渡金属,7,7,[Rn]5f¹⁴6d⁵7s²,1976,阿姆布鲁斯特,人工合成元素，纪念玻尔
Hs,钅黑(hēi),108,269,+8,过渡金属,8,7,[Rn]5f¹⁴6d⁶7s²,1984,阿姆布鲁斯特,人工合成元素，纪念黑森州
Mt,䥑(mài),109,278,未知,过渡金属,9,7,[Rn]5f¹⁴6d⁷7s²,1982,阿姆布鲁斯特,人工合成元素，纪念迈特纳
Ds,鐽(dá),110,281,未知,过渡金属,10,7,[Rn]5f¹⁴6d⁸7s²,1994,阿姆布鲁斯特,人工合成元素，纪念达姆施塔特
Rg,錀(lún),111,282,未知,过渡金属,11,7,[Rn]5f¹⁴6d⁹7s²,1994,阿姆布鲁斯特,人工合成元素，纪念伦琴
Cn,鎶(gē),112,285,未知,过渡金属,12,7,[Rn]5f¹⁴6d¹⁰7s²,1996,阿姆布鲁斯特,人工合成元素，纪念哥白尼
Nh,鉨(nǐ),113,286,未知,贫金属,13,7,[Rn]5f¹⁴6d¹⁰7s²7p¹,2003,森田,人工合成元素，日本发现
Fl,鈇(fū),114,289,未知,贫金属,14,7,[Rn]5f¹⁴6d¹⁰7s²7p²,1998,弗廖洛夫,人工合成元素，纪念弗廖洛夫
Mc,鏌(mò),115,290,未知,贫金属,15,7,[Rn]5f¹⁴6d¹⁰7s²7p³,2003,弗廖洛夫,人工合成元素，纪念莫斯科
Lv,鉝(lì),116,293,未知,贫金属,16,7,[Rn]5f¹⁴6d¹⁰7s²7p⁴,2000,弗廖洛夫,人工合成元素，纪念利弗莫尔
Ts,石田(tián),117,294,未知,卤素,17,7,[Rn]5f¹⁴6d¹⁰7s²7p⁵,2010,奥加涅相,人工合成元素，纪念田纳西州
Og,气奥(ào),118,294,未知,惰性气体,18,7,[Rn]5f¹⁴6d¹⁰7s²7p⁶,2002,奥加涅相,人工合成元素，纪念奥加涅相
