类型,方程式,描述
置换反应,Zn + CuSO₄ → ZnSO₄ + Cu,锌与硫酸铜反应生成硫酸锌和铜
置换反应,2Al + 3CuSO₄ → Al₂(SO₄)₃ + 3Cu,铝与硫酸铜反应生成硫酸铝和铜
置换反应,Cu + 2AgNO₃ → Cu(NO₃)₂ + 2Ag,铜与硝酸银反应生成硝酸铜和银
置换反应,Cl₂ + 2NaBr → 2NaCl + Br₂,氯气置换溴化钠中的溴
置换反应,Fe₂O₃ + 3CO → 2Fe + 3CO₂,一氧化碳还原氧化铁
复分解反应,HCl + NaOH → NaCl + H₂O,盐酸与氢氧化钠中和反应
复分解反应,2HCl + CaCO₃ → CaCl₂ + H₂O + CO₂↑,盐酸与碳酸钙反应
复分解反应,H₂SO₄ + BaCl₂ → BaSO₄↓ + 2HCl,硫酸与氯化钡反应生成硫酸钡沉淀
复分解反应,2NaOH + CuSO₄ → Cu(OH)₂↓ + Na₂SO₄,氢氧化钠与硫酸铜反应
复分解反应,NaCl + AgNO₃ → AgCl↓ + NaNO₃,氯化钠与硝酸银反应生成氯化银沉淀
复分解反应,Ca(OH)₂ + Na₂CO₃ → CaCO₃↓ + 2NaOH,氢氧化钙与碳酸钠反应
复分解反应,H₂SO₄ + 2KOH → K₂SO₄ + 2H₂O,硫酸与氢氧化钾中和反应
复分解反应,NH₄Cl + NaOH → NaCl + NH₃↑ + H₂O,氯化铵与氢氧化钠反应
复分解反应,FeCl₃ + 3NaOH → Fe(OH)₃↓ + 3NaCl,氯化铁与氢氧化钠反应
氧化还原反应,CH₄ + 2O₂ → CO₂ + 2H₂O,甲烷燃烧
氧化还原反应,C₂H₅OH + 3O₂ → 2CO₂ + 3H₂O,乙醇燃烧
氧化还原反应,2C₂H₂ + 5O₂ → 4CO₂ + 2H₂O,乙炔燃烧
氧化还原反应,2H₂S + 3O₂ → 2SO₂ + 2H₂O,硫化氢燃烧
氧化还原反应,4NH₃ + 5O₂ → 4NO + 6H₂O,氨的催化氧化
氧化还原反应,2NO + O₂ → 2NO₂,一氧化氮氧化生成二氧化氮
中和反应,HCl + NaOH → NaCl + H₂O,强酸强碱中和
中和反应,H₂SO₄ + 2NaOH → Na₂SO₄ + 2H₂O,硫酸与氢氧化钠中和
中和反应,HNO₃ + KOH → KNO₃ + H₂O,硝酸与氢氧化钾中和
中和反应,HCl + KOH → KCl + H₂O,盐酸与氢氧化钾中和
沉淀反应,BaCl₂ + H₂SO₄ → BaSO₄↓ + 2HCl,生成硫酸钡沉淀
沉淀反应,AgNO₃ + NaCl → AgCl↓ + NaNO₃,生成氯化银沉淀
沉淀反应,CuSO₄ + 2NaOH → Cu(OH)₂↓ + Na₂SO₄,生成氢氧化铜沉淀
沉淀反应,FeCl₃ + 3NaOH → Fe(OH)₃↓ + 3NaCl,生成氢氧化铁沉淀
沉淀反应,Ca(OH)₂ + Na₂CO₃ → CaCO₃↓ + 2NaOH,生成碳酸钙沉淀
气体生成反应,Zn + 2HCl → ZnCl₂ + H₂↑,生成氢气
气体生成反应,CaCO₃ + 2HCl → CaCl₂ + H₂O + CO₂↑,生成二氧化碳
气体生成反应,NH₄Cl + NaOH → NaCl + NH₃↑ + H₂O,生成氨气
电离反应,NaCl → Na⁺ + Cl⁻,氯化钠电离
电离反应,HCl → H⁺ + Cl⁻,盐酸电离
电离反应,NaOH → Na⁺ + OH⁻,氢氧化钠电离
电离反应,H₂SO₄ → 2H⁺ + SO₄²⁻,硫酸电离
水解反应,NH₄⁺ + H₂O ⇌ NH₃·H₂O + H⁺,铵根离子水解
水解反应,CH₃COO⁻ + H₂O ⇌ CH₃COOH + OH⁻,醋酸根离子水解
配位反应,Cu²⁺ + 4NH₃ → [Cu(NH₃)₄]²⁺,铜氨配离子形成
配位反应,Ag⁺ + 2NH₃ → [Ag(NH₃)₂]⁺,银氨配离子形成
有机反应,CH₂=CH₂ + H₂ → CH₃-CH₃,乙烯加氢生成乙烷
有机反应,CH₂=CH₂ + Br₂ → CH₂Br-CH₂Br,乙烯与溴加成
有机反应,nCH₂=CH₂ → [-CH₂-CH₂-]n,乙烯聚合生成聚乙烯
有机反应,CH₃COOH + C₂H₅OH ⇌ CH₃COOC₂H₅ + H₂O,酯化反应
有机反应,2C₂H₅OH + 2Na → 2C₂H₅ONa + H₂↑,乙醇与钠反应
有机反应,C₆H₁₂O₆ → 2C₂H₅OH + 2CO₂↑,葡萄糖发酵
有机反应,C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O,葡萄糖氧化
有机反应,C₆H₆ + Br₂ → C₆H₅Br + HBr,苯与溴取代反应
电化学反应,Zn - 2e⁻ → Zn²⁺,锌电极氧化
电化学反应,Cu²⁺ + 2e⁻ → Cu,铜离子还原
电化学反应,2H⁺ + 2e⁻ → H₂↑,氢离子还原
热化学反应,C + O₂ → CO₂ ΔH = -393.5 kJ/mol,碳燃烧放热
热化学反应,2H₂ + O₂ → 2H₂O ΔH = -571.6 kJ/mol,氢气燃烧放热
热化学反应,N₂ + 3H₂ ⇌ 2NH₃ ΔH = -92.4 kJ/mol,合成氨反应
酸碱反应,H⁺ + OH⁻ → H₂O,氢离子与氢氧根离子结合
酸碱反应,CO₃²⁻ + 2H⁺ → H₂O + CO₂↑,碳酸根与酸反应
酸碱反应,HCO₃⁻ + H⁺ → H₂O + CO₂↑,碳酸氢根与酸反应
酸碱反应,NH₃ + H⁺ → NH₄⁺,氨与氢离子结合
金属冶炼,Fe₂O₃ + 3CO → 2Fe + 3CO₂,高炉炼铁
金属冶炼,2Al₂O₃ → 4Al + 3O₂↑,电解氧化铝制铝
金属冶炼,CuO + H₂ → Cu + H₂O,氢气还原氧化铜
金属冶炼,2HgO → 2Hg + O₂↑,加热氧化汞制汞
工业制取,2NaCl + 2H₂O → 2NaOH + H₂↑ + Cl₂↑,氯碱工业
工业制取,N₂ + 3H₂ ⇌ 2NH₃,哈伯法制氨
工业制取,2SO₂ + O₂ ⇌ 2SO₃,接触法制硫酸
工业制取,CaCO₃ → CaO + CO₂↑,石灰石煅烧
工业制取,SiO₂ + 2C → Si + 2CO↑,制取粗硅
实验室制取,2KClO₃ → 2KCl + 3O₂↑,实验室制氧气
实验室制取,Zn + H₂SO₄ → ZnSO₄ + H₂↑,实验室制氢气
实验室制取,CaCO₃ + 2HCl → CaCl₂ + H₂O + CO₂↑,实验室制二氧化碳
实验室制取,2NH₄Cl + Ca(OH)₂ → CaCl₂ + 2NH₃↑ + 2H₂O,实验室制氨气
实验室制取,MnO₂ + 4HCl(浓) → MnCl₂ + Cl₂↑ + 2H₂O,实验室制氯气
食物消化,C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O + 能量,葡萄糖有氧呼吸
食物消化,C₆H₁₂O₆ → 2C₃H₆O₃ + 能量,葡萄糖无氧呼吸
食物消化,2C₂H₅OH + 2CO₂ + 能量,葡萄糖酒精发酵
生物化学,6CO₂ + 6H₂O → C₆H₁₂O₆ + 6O₂,光合作用
生物化学,ATP + H₂O → ADP + Pi + 能量,ATP水解
生物化学,氨基酸 + 氨基酸 → 肽 + H₂O,肽键形成
生物化学,脂肪 + 3H₂O → 甘油 + 3脂肪酸,脂肪水解
环境化学,SO₂ + H₂O → H₂SO₃,酸雨形成
环境化学,2SO₂ + O₂ + 2H₂O → 2H₂SO₄,二氧化硫形成硫酸
环境化学,2NO + O₂ → 2NO₂,一氧化氮氧化
环境化学,3NO₂ + H₂O → 2HNO₃ + NO,二氧化氮与水反应
环境化学,CO₂ + H₂O ⇌ H₂CO₃,二氧化碳与水反应
环境化学,CaCO₃ + CO₂ + H₂O → Ca(HCO₃)₂,碳酸钙与碳酸反应
金属腐蚀,4Fe + 3O₂ + 6H₂O → 4Fe(OH)₃,铁生锈
金属腐蚀,2Fe(OH)₃ → Fe₂O₃·xH₂O,铁锈形成
金属腐蚀,2Cu + O₂ + H₂O + CO₂ → Cu₂(OH)₂CO₃,铜绿形成
燃烧反应,C + O₂ → CO₂,碳完全燃烧
燃烧反应,2C + O₂ → 2CO,碳不完全燃烧
燃烧反应,CH₄ + 2O₂ → CO₂ + 2H₂O,甲烷燃烧
燃烧反应,2CO + O₂ → 2CO₂,一氧化碳燃烧
燃烧反应,C₂H₅OH + 3O₂ → 2CO₂ + 3H₂O,乙醇燃烧
燃烧反应,2H₂ + O₂ → 2H₂O,氢气燃烧
燃烧反应,S + O₂ → SO₂,硫燃烧
燃烧反应,4P + 5O₂ → 2P₂O₅,磷燃烧
